episode,w_conn,w_mat,w_struct
1,8.038739090625823,1.016850807001974,3.0672694821347957
2,8.05545158998813,1.0158508070019738,2.979517561639615
3,8.080550431271853,1.0010419397970705,2.9293016358986605
4,8.097895184837679,1.0020419397970703,2.9046790881719398
5,8.120718734851888,0.988392381228664,2.8667344435488102
6,8.124318734851887,0.989392381228664,2.95673444354881
7,8.144423198358325,0.9757071908201884,2.9079601767373027
8,8.174726551184254,0.9747101189878434,2.892534235747285
9,8.197216522691459,0.9611936410848594,2.8549635016523207
10,8.22456587810643,0.9601988888972688,2.8425329998880895
11,8.246709343791506,0.9468482980718209,2.8054608384074995
12,8.276062343778495,0.9458557484281211,2.7924507303410637
13,8.290786966138032,0.9317187888516641,2.6880369520801826
14,8.309784259212723,0.9307319853252948,2.670211353184466
15,8.311384259212723,0.9517319853252948,2.807211353184466
16,8.336481953014223,0.9507378104731851,2.7865999231054204
17,8.358053555929642,0.9376341708777046,2.7502515748658514
18,8.380582164767043,0.9366426155192988,2.7199190045165254
19,8.379218496901581,0.9555863873385917,2.781806548155111
20,8.392395852899575,0.954591933321879,2.7588884114208403
21,8.410489854755616,0.9724895966287971,2.850605891942958
22,8.439015307621547,0.9714902320572735,2.8322629055652526
23,8.478769258678962,0.9918475423752505,2.897699231171659
24,8.500650139504657,0.9908475423752505,2.9027023045524554
25,8.518953047951394,0.9767508767496992,2.8461265102200626
26,8.544944414521202,0.9757508767496992,2.8340634184541478
27,8.544622268965036,0.9956055239654796,2.928624626653747
28,8.569653071918832,0.9946055239654796,2.9228446351588975
29,8.575651215626609,0.9779035284080466,2.790579697587897
30,8.58899585701256,0.9769035912224343,2.75143588693649
31,8.60520686401449,0.9935592328353068,2.815849023204051
32,8.629740221734776,0.9925592328353068,2.7870202822217123
33,8.645104206586234,0.9797984826223728,2.6876110495022463
34,8.661326795801283,0.9788022100616348,2.6652921382518975
35,8.686722344377065,0.9936298374372985,2.75237537572187
36,8.704763592369225,0.9926298374372985,2.7351419339175354
37,8.703088857984769,1.0114533766796685,2.796761565203411
38,8.721167404674311,1.0104533766796684,2.779473985979269
39,8.719414164084862,1.0292313849243084,2.8409641695481627
40,8.737529783700147,1.0282313849243085,2.8236227254798543
41,8.738645805630842,1.0478185438203345,2.9193876535947605
42,8.756352082431537,1.0468185438203346,2.9000114886856396
43,8.77125717841963,1.033262525141531,2.8091580794478967
44,8.790885769654045,1.032262525141531,2.7878149889862645
45,8.803732633666497,1.0205331609813586,2.739000533707257
46,8.823571015858157,1.0195331609813585,2.7166904522026627
47,8.824645514908264,0.9988540888094164,2.646369607298083
48,8.844790914337056,0.9998540888094164,2.6622580810764327
49,8.863391538828038,1.0173586381639999,2.7349206254052327
50,8.882565029242315,1.016358638164,2.7140480341148683
51,8.893788889571987,1.0050778193777616,2.659956084647847
52,8.915340127875742,1.0060766919047688,2.667918070116059
53,8.913521851017899,1.0248454223323693,2.7294214623650253
54,8.930908694580967,1.0238454223323692,2.712648232561378
55,8.929012487472825,1.0425688797114685,2.774022898462472
56,8.946439389384905,1.0415688797114684,2.757193513770863
57,8.945220930941014,1.0601295613500998,2.8303220078561444
58,8.962707427342593,1.0591295613500997,2.813415595287315
59,8.983508730027841,1.0447080678674114,2.7223350095283987
60,9.000693628416212,1.0437080678674113,2.7057038002667997
61,9.022285407560435,1.0570941302047492,2.7723829108937053
62,9.042049052911636,1.056094130204749,2.7365503852817223
63,9.045351564062116,1.0402489012494425,2.634829571999344
64,9.066416082150697,1.0412442402944988,2.6427601953192887
65,9.065105837773054,1.060193698017628,2.7624395706417353
66,9.083873820471233,1.059193698017628,2.736899656948352
67,9.09762062740803,1.0474467490564092,2.6687425857071148
68,9.118130017112378,1.048438987177123,2.946035926669272
69,9.114299351199225,1.0678541647012594,3.0378897360047588
70,9.134862935255757,1.0668541647012593,3.0169356931005824
71,9.151900247058073,1.0530111845480554,2.9657140266408066
72,9.169014154523541,1.0520111845480555,2.9424160948025255
73,9.185243580664334,1.0686823248498587,2.9935201606022113
74,9.202381702966152,1.0676823248498588,2.9767451030232275
75,9.225074947132523,1.0855786319185325,3.1150177320712666
76,9.248720358473916,1.0845786319185324,3.093459911255881
77,9.271942929682307,1.0701434812537065,3.036783325123504
78,9.28877207840585,1.0691434812537066,3.0003073134842864
79,9.299297546949052,1.0875148087218016,3.09880807013839
80,9.314491340365773,1.0865148087218017,3.064929684751802
81,9.332591592297609,1.1004563480642062,3.141645340300932
82,9.347610424715143,1.0994563480642063,3.1274014846109757
83,9.36911737261201,1.0860340864843367,3.0880390478882638
84,9.387182793123634,1.0850340864843366,3.051925916327979
85,9.401841199351471,1.0722210478115237,2.9825500110472967
86,9.421757567949932,1.0712210478115238,2.985981017792514
87,9.436282388527228,1.0596013978100907,2.9368205604205384
88,9.455174002570589,1.0586013978100905,2.9155534626319173
89,9.468644225427422,1.046374497667986,2.852025328852698
90,9.483616110781494,1.045374497667986,2.787962883670474
91,9.481037246675841,1.0637539412364179,2.8484459677584604
92,9.500110330663565,1.0627539412364178,2.8149368550051137
93,9.51191673981844,1.0502258173326764,2.733025513572519
94,9.529242867725763,1.0492258173326763,2.7054168818096422
95,9.536706894187212,1.0492258173326763,2.6172440218395265
96,9.552946710590751,1.050211759702834,2.6389847839386076
97,9.552490017161562,1.0697014390449147,2.7107908461077246
98,9.566577312466748,1.0687014390449148,2.7017233244938406
99,9.570640723331964,1.0578982263793961,2.617912000422777
100,9.593170166677375,1.0588830230535895,2.6353239109814965
101,9.60577917951732,1.0485996806938886,2.586375845080413
102,9.629278123931686,1.0495858163340095,2.6167658442004185
103,9.643865617453287,1.0671388940869238,2.711369617547989
104,9.659247689706834,1.0661388940869236,2.695972389246005
105,9.668366644503216,1.0553753399364387,2.643799177832237
