episode,w_conn,w_mat,w_struct
1,8.018311047963975,1.0074741979530168,3.026878062148241
2,8.018311047963975,1.0074741979530168,3.026878062148241
3,8.018311047963975,1.0074741979530168,3.026878062148241
4,8.018311047963975,1.0074741979530168,3.026878062148241
5,8.018311047963975,1.0074741979530168,3.026878062148241
6,8.018311047963975,1.0074741979530168,3.026878062148241
7,8.018311047963975,1.0074741979530168,3.026878062148241
8,8.018311047963975,1.0074741979530168,3.026878062148241
9,8.018311047963975,1.0074741979530168,3.026878062148241
10,8.018311047963975,1.0074741979530168,3.026878062148241
11,8.018311047963975,1.0074741979530168,3.026878062148241
12,8.018311047963975,1.0074741979530168,3.026878062148241
13,8.018311047963975,1.0074741979530168,3.026878062148241
14,8.018311047963975,1.0074741979530168,3.026878062148241
15,8.018311047963975,1.0074741979530168,3.026878062148241
16,8.018311047963975,1.0074741979530168,3.026878062148241
17,8.018311047963975,1.0074741979530168,3.026878062148241
18,8.018311047963975,1.0074741979530168,3.026878062148241
19,8.018311047963975,1.0074741979530168,3.026878062148241
20,8.018311047963975,1.0074741979530168,3.026878062148241
21,8.018311047963975,1.0074741979530168,3.026878062148241
22,8.018311047963975,1.0074741979530168,3.026878062148241
23,8.018311047963975,1.0074741979530168,3.026878062148241
24,8.018311047963975,1.0074741979530168,3.026878062148241
25,8.018311047963975,1.0074741979530168,3.026878062148241
26,8.018311047963975,1.0074741979530168,3.026878062148241
27,8.018311047963975,1.0074741979530168,3.026878062148241
28,8.018311047963975,1.0074741979530168,3.026878062148241
29,8.018311047963975,1.0074741979530168,3.026878062148241
30,8.018311047963975,1.0074741979530168,3.026878062148241
31,8.018311047963975,1.0074741979530168,3.026878062148241
32,8.018311047963975,1.0074741979530168,3.026878062148241
33,8.018311047963975,1.0074741979530168,3.026878062148241
34,8.018311047963975,1.0074741979530168,3.026878062148241
35,8.018311047963975,1.0074741979530168,3.026878062148241
36,8.018311047963975,1.0074741979530168,3.026878062148241
