w_conn,w_mat,w_struct,wins,losses,winrate
6.0,1.0,3.0,40,0,1.0
6.0,1.0,4.0,38,2,0.95
8.0,1.0,3.0,35,5,0.875
8.0,1.0,4.0,33,7,0.825
10.0,0.5,4.0,38,2,0.95
