player,matches,wins,win_rate,total_move_time,total_moves,average_move_time,illegal_moves_loss,time_out_loss,regular_loss
Group1,14,3,0.21428571428571427,0.0,64,0.0,11,0,0
Group2,14,0,0.0,0.0,14,0.0,14,0,0
Group20,14,10,0.7142857142857143,462.78200000000004,131,3.5326870229007636,0,0,4
Group21,14,13,0.9285714285714286,206.66600000000005,129,1.6020620155038763,0,0,1
Group22,14,13,0.9285714285714286,226.69,141,1.6077304964539008,0,0,1
Group997,14,7,0.5,0.0,100,0.0,5,0,2
Group998,14,7,0.5,0.0,95,0.0,5,0,2
Group999,14,3,0.21428571428571427,0.0,101,0.0,11,0,0
